wavelength	relativeIntensity
2.000000000000000000e+02 0.000000000000000000e+00
2.005000000000000000e+02 0.000000000000000000e+00
2.010000000000000000e+02 0.000000000000000000e+00
2.015000000000000000e+02 0.000000000000000000e+00
2.020000000000000000e+02 2.494759999999999946e-04
2.025000000000000000e+02 0.000000000000000000e+00
2.030000000000000000e+02 0.000000000000000000e+00
2.035000000000000000e+02 8.754369999999999600e-04
2.040000000000000000e+02 0.000000000000000000e+00
2.045000000000000000e+02 0.000000000000000000e+00
2.050000000000000000e+02 8.990000000000000324e-05
2.055000000000000000e+02 0.000000000000000000e+00
2.060000000000000000e+02 4.915110000000000312e-04
2.065000000000000000e+02 0.000000000000000000e+00
2.070000000000000000e+02 4.093020000000000057e-04
2.075000000000000000e+02 0.000000000000000000e+00
2.080000000000000000e+02 0.000000000000000000e+00
2.085000000000000000e+02 0.000000000000000000e+00
2.090000000000000000e+02 0.000000000000000000e+00
2.095000000000000000e+02 0.000000000000000000e+00
2.100000000000000000e+02 0.000000000000000000e+00
2.105000000000000000e+02 1.171000000000000003e-04
2.110000000000000000e+02 0.000000000000000000e+00
2.115000000000000000e+02 1.639999999999999883e-05
2.120000000000000000e+02 0.000000000000000000e+00
2.125000000000000000e+02 0.000000000000000000e+00
2.130000000000000000e+02 1.195159999999999989e-04
2.135000000000000000e+02 6.370949999999999573e-04
2.140000000000000000e+02 1.774072999999999926e-03
2.145000000000000000e+02 1.579759999999999932e-04
2.150000000000000000e+02 0.000000000000000000e+00
2.155000000000000000e+02 0.000000000000000000e+00
2.160000000000000000e+02 0.000000000000000000e+00
2.165000000000000000e+02 0.000000000000000000e+00
2.170000000000000000e+02 0.000000000000000000e+00
2.175000000000000000e+02 1.071039999999999964e-04
2.180000000000000000e+02 0.000000000000000000e+00
2.185000000000000000e+02 4.507099999999999995e-04
2.190000000000000000e+02 1.378443999999999937e-03
2.195000000000000000e+02 0.000000000000000000e+00
2.200000000000000000e+02 0.000000000000000000e+00
2.205000000000000000e+02 0.000000000000000000e+00
2.210000000000000000e+02 1.744483999999999922e-03
2.215000000000000000e+02 2.504849999999999980e-04
2.220000000000000000e+02 0.000000000000000000e+00
2.225000000000000000e+02 6.203530000000000285e-04
2.230000000000000000e+02 0.000000000000000000e+00
2.235000000000000000e+02 0.000000000000000000e+00
2.240000000000000000e+02 0.000000000000000000e+00
2.245000000000000000e+02 0.000000000000000000e+00
2.250000000000000000e+02 0.000000000000000000e+00
2.255000000000000000e+02 2.693910000000000098e-04
2.260000000000000000e+02 0.000000000000000000e+00
2.265000000000000000e+02 3.270810000000000080e-04
2.270000000000000000e+02 1.047839999999999969e-03
2.275000000000000000e+02 7.550499999999999486e-04
2.280000000000000000e+02 0.000000000000000000e+00
2.285000000000000000e+02 0.000000000000000000e+00
2.290000000000000000e+02 0.000000000000000000e+00
2.295000000000000000e+02 0.000000000000000000e+00
2.300000000000000000e+02 0.000000000000000000e+00
2.305000000000000000e+02 0.000000000000000000e+00
2.310000000000000000e+02 0.000000000000000000e+00
2.315000000000000000e+02 2.310529999999999984e-04
2.320000000000000000e+02 0.000000000000000000e+00
2.325000000000000000e+02 0.000000000000000000e+00
2.330000000000000000e+02 0.000000000000000000e+00
2.335000000000000000e+02 6.293740000000000358e-04
2.340000000000000000e+02 0.000000000000000000e+00
2.345000000000000000e+02 1.410000000000000053e-06
2.350000000000000000e+02 6.442519999999999974e-04
2.355000000000000000e+02 0.000000000000000000e+00
2.360000000000000000e+02 0.000000000000000000e+00
2.365000000000000000e+02 9.840000000000000656e-05
2.370000000000000000e+02 0.000000000000000000e+00
2.375000000000000000e+02 0.000000000000000000e+00
2.380000000000000000e+02 4.279999999999999679e-05
2.385000000000000000e+02 0.000000000000000000e+00
