wavelength	relativeIntensity
2.000000000000000000e+02 0.000000000000000000e+00
2.005000000000000000e+02 0.000000000000000000e+00
2.010000000000000000e+02 0.000000000000000000e+00
2.015000000000000000e+02 0.000000000000000000e+00
2.020000000000000000e+02 1.539798999999999899e-03
2.025000000000000000e+02 8.149929999999999675e-04
2.030000000000000000e+02 0.000000000000000000e+00
2.035000000000000000e+02 0.000000000000000000e+00
2.040000000000000000e+02 0.000000000000000000e+00
2.045000000000000000e+02 1.112382999999999992e-03
2.050000000000000000e+02 0.000000000000000000e+00
2.055000000000000000e+02 0.000000000000000000e+00
2.060000000000000000e+02 0.000000000000000000e+00
2.065000000000000000e+02 0.000000000000000000e+00
2.070000000000000000e+02 0.000000000000000000e+00
2.075000000000000000e+02 4.672000000000000263e-04
2.080000000000000000e+02 0.000000000000000000e+00
2.085000000000000000e+02 6.951649999999999757e-04
2.090000000000000000e+02 5.794479999999999856e-04
2.095000000000000000e+02 0.000000000000000000e+00
2.100000000000000000e+02 0.000000000000000000e+00
2.105000000000000000e+02 1.407767000000000089e-03
2.110000000000000000e+02 1.094064000000000061e-03
2.115000000000000000e+02 1.242950000000000044e-03
2.120000000000000000e+02 0.000000000000000000e+00
2.125000000000000000e+02 2.665519999999999782e-04
2.130000000000000000e+02 0.000000000000000000e+00
2.135000000000000000e+02 0.000000000000000000e+00
2.140000000000000000e+02 0.000000000000000000e+00
2.145000000000000000e+02 2.209280000000000098e-04
2.150000000000000000e+02 1.167412000000000050e-03
2.155000000000000000e+02 2.531629999999999883e-04
2.160000000000000000e+02 9.249669999999999550e-04
2.165000000000000000e+02 0.000000000000000000e+00
2.170000000000000000e+02 0.000000000000000000e+00
2.175000000000000000e+02 0.000000000000000000e+00
2.180000000000000000e+02 0.000000000000000000e+00
2.185000000000000000e+02 0.000000000000000000e+00
2.190000000000000000e+02 0.000000000000000000e+00
2.195000000000000000e+02 0.000000000000000000e+00
2.200000000000000000e+02 0.000000000000000000e+00
2.205000000000000000e+02 0.000000000000000000e+00
2.210000000000000000e+02 0.000000000000000000e+00
2.215000000000000000e+02 0.000000000000000000e+00
2.220000000000000000e+02 0.000000000000000000e+00
2.225000000000000000e+02 0.000000000000000000e+00
2.230000000000000000e+02 0.000000000000000000e+00
2.235000000000000000e+02 0.000000000000000000e+00
2.240000000000000000e+02 0.000000000000000000e+00
2.245000000000000000e+02 0.000000000000000000e+00
2.250000000000000000e+02 0.000000000000000000e+00
2.255000000000000000e+02 3.354030000000000141e-04
2.260000000000000000e+02 0.000000000000000000e+00
2.265000000000000000e+02 0.000000000000000000e+00
2.270000000000000000e+02 2.849719999999999814e-04
2.275000000000000000e+02 0.000000000000000000e+00
2.280000000000000000e+02 0.000000000000000000e+00
2.285000000000000000e+02 4.754420000000000195e-04
2.290000000000000000e+02 0.000000000000000000e+00
2.295000000000000000e+02 0.000000000000000000e+00
2.300000000000000000e+02 0.000000000000000000e+00
2.305000000000000000e+02 0.000000000000000000e+00
2.310000000000000000e+02 0.000000000000000000e+00
2.315000000000000000e+02 0.000000000000000000e+00
2.320000000000000000e+02 0.000000000000000000e+00
2.325000000000000000e+02 0.000000000000000000e+00
2.330000000000000000e+02 3.779999999999999723e-05
2.335000000000000000e+02 4.088370000000000025e-04
2.340000000000000000e+02 0.000000000000000000e+00
2.345000000000000000e+02 0.000000000000000000e+00
2.350000000000000000e+02 0.000000000000000000e+00
2.355000000000000000e+02 0.000000000000000000e+00
2.360000000000000000e+02 2.272239999999999915e-04
2.365000000000000000e+02 0.000000000000000000e+00
2.370000000000000000e+02 3.061699999999999773e-04
2.375000000000000000e+02 0.000000000000000000e+00
2.380000000000000000e+02 0.000000000000000000e+00
2.385000000000000000e+02 8.658039999999999660e-04
