wave intrel
350 1E-08
355 1.327E-08
360 1.704E-08
365 2.328E-08
370 0.03552
375 0.09114
380 0.19
385 0.314
390 0.4357
395 0.5114
400 0.5705
405 0.6161
410 0.644
415 0.6729
420 0.7038
425 0.7233
430 0.7495
435 0.7653
440 0.7921
445 0.8105
450 0.8251
455 0.8441
460 0.8607
465 0.8755
470 0.8942
475 0.9025
480 0.9156
485 0.9261
490 0.9397
495 0.956
500 0.9614
505 0.9702
510 0.9852
515 0.9865
520 0.9924
525 0.9847
530 1
535 0.9959
540 0.9956
545 0.9847
550 0.9798
555 0.9515
560 0.9427
565 0.9185
570 0.8802
575 0.8336
580 0.7623
585 0.737
590 0.6951
595 0.652
600 0.6022
605 0.5504
610 0.5104
615 0.4614
620 0.4186
625 0.3739
630 0.3348
635 0.2946
640 0.2625
645 0.2308
650 0.2103
655 0.1885
660 0.1712
665 0.16
670 0.152
675 0.1454
680 0.1392
685 0.1345
690 0.1309
695 0.1277
700 0.1268
705 0.1242
710 0.1221
715 0.1205
720 0.1192
725 0.1171
730 0.1162
735 0.1144
740 0.1129
745 0.1116
750 0.1105
755 0.1085
760 0.1078
765 0.1062
770 0.1038
775 0.1025
780 0.1005
785 0.09866
790 0.09605
795 0.09522
800 0.09276
805 0.09017
810 0.08921
815 0.08662
820 0.08403
825 0.08215
830 0.07943
835 0.0774
840 0.07588
845 0.07363
850 0.07061
855 0.06827
860 0.06532
865 0.06638
870 0.06262
875 0.05679
880 0.05416
885 0.05131
890 0.04876
895 0.04634
900 0.04415
905 0.04243
910 0.04086
915 0.03938
920 0.03801
925 0.0361
930 0.03433
935 0.03233
940 0.03077
945 0.02902
950 0.03168
955 0.04315
960 0.04713
965 0.02853
970 0.01727
975 0.01904
980 0.01745
985 0.01643
990 0.01606
995 0.01553
1000 0.01382
