Wavel(nm)	T_abs	bandw(nm)
200.000000	0.000000	0.020002
200.020002	0.000000	0.020006
200.040008	0.000000	0.020010
200.060018	0.000000	0.020014
200.080032	0.000000	0.020018
200.100050	0.000000	0.020022
200.120072	0.000000	0.020026
200.140098	0.000000	0.020030
200.160128	0.000000	0.020034
200.180162	0.000000	0.020038
200.200200	0.000000	0.020042
200.220242	0.000000	0.020046
200.240288	0.000000	0.020050
200.260338	0.000000	0.020054
200.280393	0.000000	0.020058
200.300451	0.000000	0.020062
200.320513	0.000000	0.020066
200.340579	0.000000	0.020070
200.360649	0.000000	0.020074
200.380723	0.000000	0.020078
200.400802	0.000000	0.020082
200.420884	0.000000	0.020086
200.440970	0.000000	0.020090
200.461060	0.000000	0.020094
200.481155	0.000000	0.020098
200.501253	0.000000	0.020102
200.521356	0.000000	0.020106
200.541462	0.000000	0.020110
200.561572	0.000000	0.020114
200.581687	0.000000	0.020119
200.601805	0.000000	0.020123
200.621928	0.000000	0.020127
200.642055	0.000000	0.020131
200.662185	0.000000	0.020135
200.682320	0.000000	0.020139
200.702459	0.000000	0.020143
200.722601	0.000000	0.020147
200.742748	0.000000	0.020151
200.762899	0.000000	0.020155
200.783054	0.000000	0.020159
200.803213	0.000000	0.020163
200.823376	0.000000	0.020167
200.843543	0.000000	0.020171
200.863714	0.000000	0.020175
200.883889	0.000000	0.020179
200.904068	0.000000	0.020183
200.924252	0.000000	0.020187
200.944439	0.000000	0.020191
200.964630	0.000000	0.020195
200.984826	0.000000	0.020199
201.005025	0.000000	0.020204
201.025229	0.000000	0.020208
201.045436	0.000000	0.020212
201.065648	0.000000	0.020216
201.085864	0.000000	0.020220
201.106083	0.000000	0.020224
201.126307	0.000000	0.020228
201.146535	0.000000	0.020232
201.166767	0.000000	0.020236
201.187003	0.000000	0.020240
201.207243	0.000000	0.020244
201.227488	0.000000	0.020248
201.247736	0.000000	0.020252
201.267988	0.000000	0.020256
201.288245	0.000000	0.020261
201.308505	0.000000	0.020265
201.328770	0.000000	0.020269
201.349039	0.000000	0.020273
201.369311	0.000000	0.020277
201.389588	0.000000	0.020281
201.409869	0.000000	0.020285
201.430154	0.000000	0.020289
201.450443	0.000000	0.020293
201.470736	0.000000	0.020297
201.491034	0.000000	0.020301
201.511335	0.000000	0.020305
201.531640	0.000000	0.020310
201.551950	0.000000	0.020314
201.572264	0.000000	0.020318
201.592581	0.000000	0.020322
201.612903	0.000000	0.020326
201.633229	0.000000	0.020330
201.653559	0.000000	0.020334
201.673893	0.000000	0.020338
201.694232	0.000000	0.020342
201.714574	0.000000	0.020346
201.734920	0.000000	0.020351
201.755271	0.000000	0.020355
201.775626	0.000000	0.020359
201.795984	0.000000	0.020363
201.816347	0.000000	0.020367
201.836714	0.000000	0.020371
201.857085	0.000000	0.020375
201.877460	0.000000	0.020379
201.897840	0.000000	0.020383
201.918223	0.000000	0.020388
201.938611	0.000000	0.020392
201.959002	0.000000	0.020396
201.979398	0.000000	0.020400
201.999798	0.000000	0.020404
202.020202	0.000000	0.020408
202.040610	0.000000	0.020412
202.061022	0.000000	0.020416
202.081439	0.000000	0.020421
202.101859	0.000000	0.020425
202.122284	0.000000	0.020429
202.142713	0.000000	0.020433
202.163146	0.000000	0.020437
202.183583	0.000000	0.020441
202.204024	0.000000	0.020445
202.224469	0.000000	0.020449
202.244919	0.000000	0.020454
202.265372	0.000000	0.020458
202.285830	0.000000	0.020462
202.306292	0.000000	0.020466
