wavelength	relativeIntensity
2.000000000000000000e+02 2.940609999999999752e-04
2.005000000000000000e+02 0.000000000000000000e+00
2.010000000000000000e+02 4.264590000000000177e-04
2.015000000000000000e+02 3.945670000000000188e-04
2.020000000000000000e+02 0.000000000000000000e+00
2.025000000000000000e+02 0.000000000000000000e+00
2.030000000000000000e+02 0.000000000000000000e+00
2.035000000000000000e+02 1.120918999999999952e-03
2.040000000000000000e+02 4.005980000000000023e-04
2.045000000000000000e+02 0.000000000000000000e+00
2.050000000000000000e+02 0.000000000000000000e+00
2.055000000000000000e+02 0.000000000000000000e+00
2.060000000000000000e+02 0.000000000000000000e+00
2.065000000000000000e+02 1.039083000000000107e-03
2.070000000000000000e+02 0.000000000000000000e+00
2.075000000000000000e+02 0.000000000000000000e+00
2.080000000000000000e+02 4.816299999999999813e-04
2.085000000000000000e+02 0.000000000000000000e+00
2.090000000000000000e+02 0.000000000000000000e+00
2.095000000000000000e+02 0.000000000000000000e+00
2.100000000000000000e+02 2.065570000000000080e-04
2.105000000000000000e+02 0.000000000000000000e+00
2.110000000000000000e+02 1.879770000000000063e-04
2.115000000000000000e+02 0.000000000000000000e+00
2.120000000000000000e+02 0.000000000000000000e+00
2.125000000000000000e+02 0.000000000000000000e+00
2.130000000000000000e+02 0.000000000000000000e+00
2.135000000000000000e+02 0.000000000000000000e+00
2.140000000000000000e+02 0.000000000000000000e+00
2.145000000000000000e+02 0.000000000000000000e+00
2.150000000000000000e+02 0.000000000000000000e+00
2.155000000000000000e+02 0.000000000000000000e+00
2.160000000000000000e+02 0.000000000000000000e+00
2.165000000000000000e+02 0.000000000000000000e+00
2.170000000000000000e+02 0.000000000000000000e+00
2.175000000000000000e+02 8.600370000000000193e-04
2.180000000000000000e+02 0.000000000000000000e+00
2.185000000000000000e+02 1.474810000000000064e-04
2.190000000000000000e+02 8.568649999999999487e-04
2.195000000000000000e+02 0.000000000000000000e+00
2.200000000000000000e+02 0.000000000000000000e+00
2.205000000000000000e+02 0.000000000000000000e+00
2.210000000000000000e+02 0.000000000000000000e+00
2.215000000000000000e+02 0.000000000000000000e+00
2.220000000000000000e+02 8.321529999999999726e-04
