Wavelength	dust scat/ext
340     0.550515811
350	0.5530858
360	0.5560583168
370	0.5594112384
380	0.5631224416
390	0.5671698032
400	0.5715312
410	0.5761845088
420	0.5811076064
430	0.5862783696
440	0.5916746752
450	0.5972744
460	0.6030554208
470	0.6089956144
480	0.6150728576
490	0.6212650272
500	0.62755
510	0.6339056528
520	0.6403098624
530	0.6467405056
540	0.6531754592
550	0.6595926
560	0.6659698048
570	0.6722849504
580	0.6785159136
590	0.6846405712
600	0.6906368
610	0.6964824768
620	0.7021554784
630	0.7076336816
640	0.7128949632
650	0.7179172
660	0.7226782688
670	0.7271560464
680	0.7313284096
690	0.7351732352
700	0.7386684
710	0.741791780800001
720	0.7445212544
730	0.7468346976
740	0.7487099872
750	0.750125
760	0.7510576128

